"label" "u-r" "F378-r" "F395-r" "F410-r" "F430-r" "g-r" "F515-r" "r-F660" "r-i" "r-F861" "r-z"
"Ech1.30Zm0.35T06.0000_iTp0.00_baseFe.sed" 1 2.21504493916707 1.93908614549046 1.75397530184854 1.21793062414568 1.07807972240475 0.649950960198808 0.454296891817407 -0.0817082022377775 -0.339523458089005 -0.437231323472247 -0.488740865651963
"Ech1.30Zm0.35T06.5000_iTp0.00_baseFe.sed" 1 2.22394536721629 1.95201124742873 1.7683769993051 1.22653238247214 1.08664251027228 0.654357052745041 0.458176968395847 -0.0827598310757622 -0.342686778751997 -0.440353473975875 -0.492160756239755
"Ech1.30Zm0.35T07.0000_iTp0.00_baseFe.sed" 1 2.24401320173988 1.97466885989346 1.79238831295508 1.24194777823408 1.10070656576951 0.661617988313424 0.464000027098905 -0.084301734826596 -0.34671208118769 -0.445219051813808 -0.498033371456813
"Ech1.30Zm0.35T07.5000_iTp0.00_baseFe.sed" 1 2.2608040667464 1.99420518098039 1.81245006881491 1.25551784603225 1.11328263134064 0.66827186912839 0.469478517422388 -0.0857986441014162 -0.350955869150553 -0.449468135297096 -0.503903627342964
"Ech1.30Zm0.35T08.0000_iTp0.00_baseFe.sed" 1 2.27287079640958 2.00857440012383 1.82677129589072 1.26567442770863 1.12334919323452 0.673261028892711 0.473640697636014 -0.0870374503298308 -0.355156764336556 -0.453997678942414 -0.509924677028636
"Ech1.30Zm0.35T08.5000_iTp0.00_baseFe.sed" 1 2.28699162392996 2.02441144672297 1.84312762468836 1.27745295072842 1.13452362728897 0.679122658122367 0.478529319548215 -0.088296764217489 -0.358653184831695 -0.457689312848657 -0.51393661973745
"Ech1.30Zm0.35T09.0000_iTp0.00_baseFe.sed" 1 2.30235829092118 2.04177246421307 1.86062204276658 1.28950326713029 1.14554910259382 0.684698578200141 0.48274312735316 -0.0896791560650172 -0.36201083659185 -0.461216263834515 -0.51900891961607
"Ech1.30Zm0.35T09.5000_iTp0.00_baseFe.sed" 1 2.31361478129288 2.05530205764556 1.87511595141181 1.29866846819735 1.15397459236461 0.68919012063192 0.486625732159766 -0.0907508605297522 -0.364807119829919 -0.464269286546767 -0.521032592345421
"Ech1.30Zm0.35T10.0000_iTp0.00_baseFe.sed" 1 2.32776371451538 2.07176373273106 1.89070224619719 1.30892504406964 1.16323478683425 0.69346847005599 0.489993817014977 -0.0914461389692747 -0.365973173644932 -0.467594179577958 -0.523918583513066
"Ech1.30Zm0.35T10.5000_iTp0.00_baseFe.sed" 1 2.34117137593674 2.08528741791525 1.9039965559798 1.31849337222545 1.17208600607502 0.698093783722854 0.493987078987942 -0.092354217875112 -0.368511203530545 -0.470118634151078 -0.525333415320517
"Ech1.30Zm0.35T11.0000_iTp0.00_baseFe.sed" 1 2.35629778374479 2.10057317799159 1.91908230128264 1.32880115184136 1.18125693176053 0.702877857070646 0.497719805743401 -0.0935660074066647 -0.371914828403575 -0.472291343252536 -0.526793277758358
"Ech1.30Zm0.35T11.5000_iTp0.00_baseFe.sed" 1 2.36907827233252 2.11585942305254 1.93405747086791 1.33879385699879 1.19047634898502 0.707010383862837 0.500808613932321 -0.0941141812743638 -0.37257736817763 -0.474833265669488 -0.527425598108081
"Ech1.30Zm0.35T12.0000_iTp0.00_baseFe.sed" 1 2.38003643392844 2.12538516552 1.94456979087248 1.34539067220956 1.19657688177264 0.710276865379456 0.50365575887308 -0.0947650545802929 -0.374303868261549 -0.477101257703865 -0.529029850664401
"Ech1.30Zm0.35T12.5000_iTp0.00_baseFe.sed" 1 2.38993046834987 2.13535722322672 1.95428053225088 1.35317511643375 1.20413804005095 0.714428681041042 0.507467869684078 -0.0956949331737604 -0.376981135452269 -0.478585823984119 -0.529726136034242
"Ech1.30Zm0.35T13.0000_iTp0.00_baseFe.sed" 1 2.39900704496426 2.14421363985868 1.96288324712191 1.35980239596432 1.21054986699589 0.717512483716902 0.510184570104968 -0.0963338276481807 -0.378848607302274 -0.480701554578232 -0.531592224349367
"Ech1.30Zm0.35T13.5000_iTp0.00_baseFe.sed" 1 2.4111550645798 2.15671601181145 1.97453887050077 1.36758593091356 1.21790174728038 0.721160466857356 0.51341937815468 -0.0972925613768041 -0.381054881621296 -0.483795626378239 -0.536274000421599
